,pid,external_pid,age_range,full_date,gender,unix_epoch,compression,description,page_index,plot_number
0,0,-L8mAlbhYKds9SwZnY16,26-35,Thu Mar 29 2018 10:35:12 GMT-0400 (Eastern Daylight Time),male,1522334112269,33,The graph increased and decreased on a consistent basis. ,2,9
1,0,-L8mAlbhYKds9SwZnY16,26-35,Thu Mar 29 2018 10:35:12 GMT-0400 (Eastern Daylight Time),male,1522334112269,25,The graph had 3 large increases and 2 large decreases overall. ,3,14
2,0,-L8mAlbhYKds9SwZnY16,26-35,Thu Mar 29 2018 10:35:12 GMT-0400 (Eastern Daylight Time),male,1522334112269,33,The graph increased at a consistent rate. ,4,38
3,0,-L8mAlbhYKds9SwZnY16,26-35,Thu Mar 29 2018 10:35:12 GMT-0400 (Eastern Daylight Time),male,1522334112269,28,The data from the graph was sporadic and made it difficult to determine exactly what happened. ,5,39
4,0,-L8mAlbhYKds9SwZnY16,26-35,Thu Mar 29 2018 10:35:12 GMT-0400 (Eastern Daylight Time),male,1522334112269,34,The graph had a large increase with several medium to small increases/decreases that followed.,6,5
5,0,-L8mAlbhYKds9SwZnY16,26-35,Thu Mar 29 2018 10:35:12 GMT-0400 (Eastern Daylight Time),male,1522334112269,33,The graph stayed linear in the beginning then began to change.,7,34
6,1,-L8mBIOPblchCOf-7Smt,26-35,Thu Mar 29 2018 17:37:30 GMT+0300 (EEST),male,1522334250639,26,"It goes a big up and then halfway down, then up again then down again, then small up and small down and then small up again and then small down and then big up and big down.",2,10
7,1,-L8mBIOPblchCOf-7Smt,26-35,Thu Mar 29 2018 17:37:30 GMT+0300 (EEST),male,1522334250639,21,There is a big up and then big down then big up again then big down again.,3,23
8,1,-L8mBIOPblchCOf-7Smt,26-35,Thu Mar 29 2018 17:37:30 GMT+0300 (EEST),male,1522334250639,27,"A small down then big up, then it plateaus going downwards a bit, then it goes up and then it goes down.",4,9
9,1,-L8mBIOPblchCOf-7Smt,26-35,Thu Mar 29 2018 17:37:30 GMT+0300 (EEST),male,1522334250639,28,"A really big down, then a big up, then a moderate down, then a moderate up and then it plateaus going down a bit.",5,15
10,1,-L8mBIOPblchCOf-7Smt,26-35,Thu Mar 29 2018 17:37:30 GMT+0300 (EEST),male,1522334250639,26,It goes down all the way with small up and downs along the way.,6,37
11,1,-L8mBIOPblchCOf-7Smt,26-35,Thu Mar 29 2018 17:37:30 GMT+0300 (EEST),male,1522334250639,24,It goes up all the way with small up and downs along the way.,7,35
12,2,-L8mBdiKtSTwRx2B-Si-,46-55,Thu Mar 29 2018 07:39:01 GMT-0700 (Pacific Daylight Time),male,1522334341141,24,high peaks in between a sine wave,2,27
13,2,-L8mBdiKtSTwRx2B-Si-,46-55,Thu Mar 29 2018 07:39:01 GMT-0700 (Pacific Daylight Time),male,1522334341141,32,beginning at 3 then dropping down and crawling back to 3,3,7
14,2,-L8mBdiKtSTwRx2B-Si-,46-55,Thu Mar 29 2018 07:39:01 GMT-0700 (Pacific Daylight Time),male,1522334341141,22,smooth with 2 large peaks toward the end,4,13
15,2,-L8mBdiKtSTwRx2B-Si-,46-55,Thu Mar 29 2018 07:39:01 GMT-0700 (Pacific Daylight Time),male,1522334341141,32,gradually increasing sine wave from 1 to 3 with 7? hills,5,21
