"","message","compositional","sender","receiver","evaluator","evaluation"
"1",17,"spectral",10,35,1,86
"2",4,"spectral",8,50,1,67
"3",16,"spectral",25,14,1,62
"4",16,"spectral",25,27,1,61
"5",15,"spectral",25,14,1,63
"6",32,"compositional",17,24,1,60
"7",15,"spectral",3,33,1,26
"8",29,"compositional",8,48,1,28
"9",17,"spectral",10,2,1,7
"10",2,"spectral",8,50,1,18
"11",38,"compositional",25,13,1,3
"12",27,"compositional",25,32,1,86
"13",10,"spectral",17,20,1,80
"14",20,"spectral",3,17,1,14
"15",9,"spectral",4,12,1,3
"16",31,"compositional",17,15,1,34
"17",9,"spectral",14,30,1,23
"18",13,"spectral",25,32,1,80
"19",16,"spectral",3,33,1,18
"20",21,"compositional",10,31,1,14
"21",27,"compositional",25,41,1,15
"22",35,"compositional",8,16,1,74
"23",39,"compositional",17,8,1,73
"24",0,"spectral",4,38,1,71
"25",34,"compositional",4,10,1,19
"26",38,"compositional",25,45,1,5
"27",16,"spectral",14,40,1,4
"28",9,"spectral",14,44,1,6
"29",38,"compositional",25,27,1,82
"30",5,"spectral",3,42,1,16
"31",26,"compositional",4,46,2,69
"32",13,"spectral",25,41,2,41
"33",22,"compositional",14,44,2,63
"34",35,"compositional",4,10,2,57
"35",14,"spectral",10,2,2,77
"36",14,"spectral",4,22,2,56
"37",29,"compositional",8,49,2,37
"38",20,"spectral",3,17,2,62
"39",15,"spectral",3,25,2,75
"40",20,"spectral",3,33,2,55
"41",1,"spectral",14,30,2,38
"42",29,"compositional",8,48,2,81
"43",16,"spectral",3,17,2,55
"44",13,"spectral",25,32,2,65
"45",22,"compositional",14,26,2,56
"46",16,"spectral",3,33,2,42
"47",9,"spectral",4,38,2,35
"48",20,"spectral",3,29,2,43
"49",35,"compositional",4,4,2,65
"50",21,"compositional",10,39,2,59
"51",2,"spectral",8,48,2,71
"52",7,"spectral",8,48,2,67
"53",7,"spectral",8,49,2,40
"54",17,"spectral",10,2,2,2
"55",16,"spectral",3,43,2,86
"56",35,"compositional",8,49,2,11
"57",7,"spectral",8,21,2,61
"58",36,"compositional",3,42,2,31
"59",33,"compositional",25,27,2,67
"60",9,"spectral",14,40,2,3
"61",15,"spectral",25,41,3,13
"62",7,"spectral",8,5,3,29
"63",29,"compositional",8,49,3,18
"64",29,"compositional",8,50,3,17
"65",30,"compositional",3,25,3,23
"66",29,"compositional",8,5,3,73
"67",37,"compositional",10,35,3,54
"68",36,"compositional",3,29,3,25
"69",16,"spectral",17,6,3,51
"70",39,"compositional",17,6,3,56
"71",0,"spectral",4,12,3,39
"72",14,"spectral",4,28,3,39
"73",9,"spectral",14,30,3,45
"74",15,"spectral",3,7,3,41
"75",39,"compositional",17,20,3,54
"76",32,"compositional",17,3,3,85
"77",20,"spectral",3,33,3,53
"78",20,"spectral",3,43,3,56
"79",11,"spectral",10,39,3,51
"80",34,"compositional",4,4,3,52
"81",9,"spectral",14,40,3,46
"82",14,"spectral",4,19,3,23
"83",15,"spectral",25,27,3,65
"84",11,"spectral",10,36,3,53
"85",16,"spectral",14,44,3,58
"86",39,"compositional",17,15,3,42
"87",9,"spectral",4,22,3,36
"88",14,"spectral",4,46,3,50
"89",15,"spectral",3,23,3,38
"90",35,"compositional",8,18,3,53
"91",34,"compositional",4,19,4,20
"92",32,"compositional",17,6,4,63
"93",11,"spectral",17,24,4,81
"94",27,"compositional",25,27,4,58
"95",16,"spectral",3,29,4,5
"96",32,"compositional",17,3,4,76
"97",29,"compositional",8,5,4,81
"98",35,"compositional",8,18,4,61
"99",37,"compositional",10,37,4,58
"100",26,"compositional",4,38,4,13
"101",10,"spectral",17,20,4,7
"102",14,"spectral",10,35,4,4
"103",33,"compositional",25,32,4,81
"104",35,"compositional",8,49,4,4
"105",21,"compositional",10,35,4,23
"106",4,"spectral",8,21,4,21
"107",26,"compositional",4,10,4,44
"108",9,"spectral",4,19,4,4
"109",20,"spectral",3,17,4,12
"110",30,"compositional",3,33,4,36
"111",13,"spectral",25,27,4,54
"112",0,"spectral",4,28,4,53
"113",5,"spectral",3,29,4,22
"114",14,"spectral",4,38,4,15
"115",22,"compositional",14,40,4,20
"116",16,"spectral",17,15,4,81
"117",37,"compositional",10,2,4,17
"118",26,"compositional",4,19,4,58
"119",2,"spectral",8,21,4,35
"120",26,"compositional",4,46,4,29
"121",35,"compositional",10,36,5,37
"122",0,"spectral",4,19,5,43
"123",0,"spectral",4,12,5,45
"124",9,"spectral",4,19,5,17
"125",9,"spectral",4,12,5,52
"126",1,"spectral",14,30,5,64
"127",16,"spectral",17,15,5,80
"128",27,"compositional",25,32,5,56
"129",16,"spectral",14,34,5,41
"130",32,"compositional",17,15,5,75
"131",11,"spectral",17,24,5,43
"132",11,"spectral",10,37,5,46
"133",34,"compositional",4,22,5,38
"134",21,"compositional",10,37,5,47
"135",11,"spectral",10,2,5,46
"136",26,"compositional",4,46,5,49
"137",32,"compositional",17,20,5,35
"138",16,"spectral",25,32,5,59
"139",26,"compositional",4,10,5,32
"140",15,"spectral",3,42,5,48
"141",10,"spectral",17,20,5,28
"142",35,"compositional",8,49,5,43
"143",2,"spectral",8,18,5,25
"144",27,"compositional",25,13,5,51
"145",32,"compositional",17,3,5,55
