"","func","x","type","funcid"
"1",7.09284735543985,1,"spectral",1
"2",7.82111994153649,2,"spectral",1
"3",7.94656070156207,3,"spectral",1
"4",8.5011966748881,4,"spectral",1
"5",9,5,"spectral",1
"6",8.31813282177766,6,"spectral",1
"7",8.10696994610396,7,"spectral",1
"8",7.31866264730063,8,"spectral",1
"9",6.65031515483694,9,"spectral",1
"10",5.66286653877775,10,"spectral",1
"11",4.85947930939984,11,"spectral",1
"12",3.96037270485064,12,"spectral",1
"13",3.06197131634238,13,"spectral",1
"14",2.357376450169,14,"spectral",1
"15",1.5835754087878,15,"spectral",1
"16",1.12313875947748,16,"spectral",1
"17",1,17,"spectral",1
"18",1.15163971864438,18,"spectral",1
"19",1.18160226546086,19,"spectral",1
"20",1.73210925367681,20,"spectral",1
"21",2.26449255503791,21,"spectral",1
"22",3.13004476112177,22,"spectral",1
"23",3.85068055174934,23,"spectral",1
"24",4.44313510550836,24,"spectral",1
"25",5.41346853019092,25,"spectral",1
"26",6.08303644834201,26,"spectral",1
"27",6.9157760116927,27,"spectral",1
"28",7.34679820955513,28,"spectral",1
"29",7.78308212295606,29,"spectral",1
"30",8.05676441034073,30,"spectral",1
"31",7.98649858408696,31,"spectral",1
"32",7.90388234219421,32,"spectral",1
"33",7.87271398556682,33,"spectral",1
"34",7.43928016808258,34,"spectral",1
"35",7.18149264638714,35,"spectral",1
"36",6.7832100118754,36,"spectral",1
"37",6.35182241710058,37,"spectral",1
"38",5.717347218416,38,"spectral",1
"39",5.66940714350964,39,"spectral",1
"40",5.59632776103042,40,"spectral",1
"41",5.4148533844889,41,"spectral",1
"42",5.33752808988764,42,"spectral",1
"43",5.52105599707683,43,"spectral",1
"44",5.93907006485795,44,"spectral",1
"45",5.63509637343564,45,"spectral",1
"46",6.36786334155476,46,"spectral",1
"47",6.34674340001827,47,"spectral",1
"48",6.85131999634603,48,"spectral",1
"49",6.80772814469718,49,"spectral",1
"50",7.0166986388965,50,"spectral",1
"51",6.8808075271764,51,"spectral",1
"52",7.02327578331963,52,"spectral",1
"53",6.80060290490545,53,"spectral",1
"54",6.34816844797661,54,"spectral",1
"55",5.78512834566548,55,"spectral",1
"56",5.32361742943272,56,"spectral",1
"57",4.90107243993788,57,"spectral",1
"58",4.27918151091623,58,"spectral",1
"59",3.71241436009866,59,"spectral",1
"60",3.21832465515666,60,"spectral",1
"61",2.90422946926098,61,"spectral",1
"62",2.37042111994154,62,"spectral",1
"63",1.95127432173198,63,"spectral",1
"64",1.56271124508998,64,"spectral",1
"65",1.27514387503426,65,"spectral",1
"66",1.26856673061113,66,"spectral",1
"67",1.27185530282269,67,"spectral",1
"68",1.27550927194665,68,"spectral",1
"69",1.85407874303462,69,"spectral",1
