Participant ID,Rater1,Rater2,Comments,Average,Ranking,Chosen
4,5,4,,4.5,1,Yes
3,4,4,,4,2,Yes
8,5,3,,4,2,Yes
14,3,5,,4,2,Yes
25,3,5,,4,2,Yes
10,3,4,,3.5,6,Yes
17,4,3,ref,3.5,6,Yes
1,4,2,,3,8,Yes
11,2,4,ref,3,8,Yes
12,2,4,ref,3,8,Yes
13,2,4,ref,3,8,Yes
15,2,4,,3,8,Yes
19,3,3,,3,8,Yes
26,2,4,ref,3,8,Yes
2,3,2,,2.5,15,No
5,2,3,,2.5,15,No
6,3,2,,2.5,15,No
9,2,3,,2.5,15,No
16,2,3,,2.5,15,No
18,2,3,ref,2.5,15,No
27,2,3,ref,2.5,15,No
0,2,2,,2,22,No
7,1,3,,2,22,No
23,1,3,,2,22,No
30,1,3,,2,22,No
20,1,2,,1.5,26,No
29,1,2,,1.5,26,No
21,1,1,,1,28,No
22,1,1,,1,28,No
24,1,1,,1,28,No
28,1,1,,1,28,No
