"","show","rate","id","pid"
"1",109,2,1,18
"2",66,0,1,10
"3",140,1,1,23
"4",136,0,1,22
"5",160,3,1,26
"6",118,2,1,19
"7",78,1,1,12
"8",171,0,1,28
"9",50,2,1,8
"10",176,1,1,29
"11",104,4,1,17
"12",153,3,1,25
"13",21,1,1,3
"14",115,2,1,19
"15",38,2,1,6
"16",86,1,1,14
"17",20,2,1,3
"18",81,1,1,13
"19",6,0,1,0
"20",4,0,1,0
"21",33,2,1,5
"22",14,0,1,2
"23",12,2,1,1
"24",53,1,1,8
"25",37,1,1,6
"26",108,2,1,17
"27",45,1,1,7
"28",79,3,1,13
"29",169,0,1,28
"30",145,0,1,24
"31",129,0,1,21
"32",55,1,1,9
"33",99,1,1,16
"34",137,0,1,22
"35",85,2,1,14
"36",24,2,1,3
"37",105,3,1,17
"38",170,0,1,28
"39",172,0,1,28
"40",166,2,1,27
"41",173,0,1,28
"42",52,2,1,8
"43",68,2,1,11
"44",138,0,1,22
"45",32,2,1,5
"46",163,2,1,27
"47",101,1,1,16
"48",58,1,1,9
"49",76,3,1,12
"50",19,2,1,3
"51",147,2,2,24
"52",9,4,2,1
"53",17,1,2,2
"54",15,2,2,2
"55",134,0,2,22
"56",127,1,2,21
"57",168,5,2,27
"58",34,3,2,5
"59",80,1,2,13
"60",105,4,2,17
"61",184,3,2,30
"62",29,4,2,4
"63",1,0,2,0
"64",95,4,2,15
"65",141,1,2,23
"66",94,5,2,15
"67",114,3,2,18
"68",53,3,2,8
"69",102,3,2,16
"70",56,3,2,9
"71",183,1,2,30
"72",145,1,2,24
"73",90,4,2,14
"74",175,2,2,29
"75",65,5,2,10
"76",43,2,2,7
"77",89,4,2,14
"78",122,1,2,20
"79",148,0,2,24
"80",92,4,2,15
"81",132,0,2,21
"82",81,4,2,13
"83",63,3,2,10
"84",125,1,2,20
"85",173,0,2,28
"86",45,5,2,7
"87",5,1,2,0
"88",42,1,2,6
"89",69,3,2,11
"90",18,4,2,2
"91",166,4,2,27
"92",23,4,2,3
"93",157,4,2,26
"94",32,4,2,5
"95",103,5,2,17
"96",49,3,2,8
"97",75,3,2,12
"98",131,0,2,21
"99",101,2,2,16
"100",7,4,2,1
"101",158,5,3,26
"102",128,2,3,21
"103",100,5,3,16
"104",78,5,3,12
"105",76,3,3,12
"106",8,5,3,1
"107",9,4,3,1
"108",133,2,3,22
"109",154,4,3,25
"110",57,4,3,9
"111",29,5,3,4
"112",1,4,3,0
"113",55,3,3,9
"114",165,5,3,27
"115",71,3,3,11
"116",88,5,3,14
"117",159,5,3,26
"118",87,4,3,14
"119",19,4,3,3
"120",38,5,3,6
"121",40,5,3,6
"122",47,5,3,7
"123",4,3,3,0
"124",70,4,3,11
"125",64,2,3,10
"126",46,5,3,7
"127",6,1,3,0
"128",144,2,3,23
"129",15,1,3,2
"130",14,1,3,2
"131",178,3,3,29
"132",136,1,3,22
"133",95,3,3,15
"134",114,4,3,18
"135",134,1,3,22
"136",98,5,3,16
"137",118,4,3,19
"138",163,3,3,27
"139",111,4,3,18
"140",149,1,3,24
"141",130,1,3,21
"142",145,1,3,24
"143",139,2,3,23
"144",22,5,3,3
"145",13,1,3,2
"146",92,5,3,15
"147",121,1,3,20
"148",131,1,3,21
"149",172,1,3,28
"150",175,3,3,29
"151",124,2,4,20
"152",140,3,4,23
"153",98,2,4,16
"154",39,5,4,6
"155",46,2,4,7
"156",94,3,4,15
"157",107,4,4,17
"158",181,1,4,30
"159",37,3,4,6
"160",153,3,4,25
"161",73,4,4,12
"162",103,4,4,17
"163",64,3,4,10
"164",179,3,4,29
"165",65,3,4,10
"166",29,2,4,4
"167",2,1,4,0
"168",125,1,4,20
"169",68,3,4,11
"170",186,1,4,30
"171",33,2,4,5
"172",53,1,4,8
"173",180,1,4,29
"174",147,1,4,24
"175",69,3,4,11
"176",112,4,4,18
"177",131,0,4,21
"178",78,3,4,12
"179",102,1,4,16
"180",139,2,4,23
"181",182,2,4,30
"182",9,1,4,1
"183",183,1,4,30
"184",85,4,4,14
"185",143,1,4,23
"186",26,3,4,4
"187",87,2,4,14
"188",133,0,4,22
"189",154,3,4,25
"190",135,0,4,22
"191",159,2,4,26
"192",105,4,4,17
"193",75,3,4,12
"194",6,1,4,0
"195",161,3,4,26
"196",70,4,4,11
"197",1,1,4,0
"198",138,0,4,22
"199",5,2,4,0
"200",89,4,4,14
"201",98,4,5,16
"202",66,1,5,10
"203",18,1,5,2
"204",158,2,5,26
"205",63,1,5,10
"206",150,1,5,24
"207",2,2,5,0
"208",28,2,5,4
"209",160,2,5,26
"210",4,0,5,0
"211",67,1,5,11
"212",42,0,5,6
"213",51,3,5,8
"214",109,1,5,18
"215",39,1,5,6
"216",152,4,5,25
"217",64,1,5,10
"218",19,0,5,3
"219",41,0,5,6
"220",11,0,5,1
"221",49,0,5,8
"222",45,0,5,7
"223",30,0,5,4
"224",185,1,5,30
"225",175,1,5,29
"226",129,0,5,21
"227",95,5,5,15
"228",149,0,5,24
"229",53,5,5,8
"230",182,3,5,30
"231",86,5,5,14
"232",1,0,5,0
"233",132,0,5,21
"234",136,0,5,22
"235",15,0,5,2
"236",96,0,5,15
"237",120,4,5,19
"238",25,0,5,4
"239",21,1,5,3
"240",157,5,5,26
"241",43,3,5,7
"242",168,5,5,27
